id,timestamp,sender_id,message,bot_message,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
34,2020-06-02,1761272857279605,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101791713_632867757311764_8955155843230203904_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_oc=AQlQ_TFQAh4-BlMLzQ15XCDpGI4Ye6wa319rQecOd963Z6JimPbweBVT7dwZBZh4QelIR0jDEm_rUvJoUdCAE831&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=8591881242435000a217b110491677c6&oe=5EFA316C
mẫu này bn b","Sản phẩm Voi Jumbo thả hình khối Bkids Infantino  hiện shop đang có mức giá: *269,000 VND (giá gốc 299,000 VND)*.
",other,1,query_knowledge_base,2020-06-02 05:58:32,2020-06-02 05:58:35,3.0
35,2020-06-01,2030039080420495,E ơi,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?", ,0,greet,2020-06-01 08:07:51,2020-06-01 08:07:51,0.0
35,2020-06-01,2030039080420495,"https://scontent.xx.fbcdn.net/v/t1.15752-9/100051383_689105611871689_1821718298518093824_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=dA8WxlUJJI8AX9kzG4n&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=eeb82791106c1729754e36791a1e3367&oe=5EF8D07F
Giá bnhieu e ơi",Bot doing sth, ,0,query_knowledge_base,2020-06-01 08:08:50,2020-06-01 08:08:57,7.0
35,2020-06-01,2030039080420495,Có clip nhạc phát như nào k,bot handover_to_inbox,handover_to_inbox,0,handover_to_inbox,2020-06-01 08:09:01,no_timestamp,no_wait_time
36,2020-06-01,1774545319294287,"https://scontent.xx.fbcdn.net/v/t1.15752-9/100097969_888917274916266_2258259130965819392_n.jpg?_nc_cat=101&_nc_sid=b96e70&_nc_ohc=N7C4jGC5sbUAX8iV69c&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=cdaa9da0addab27736210d07b9c14729&oe=5EFB5186
M xin giá","Sản phẩm Bộ đồ chơi nhà bếp thông minh  hiện shop đang có mức giá: *790,000 VND, 590,000 VND*.
", ,0,query_knowledge_base,2020-06-01 07:29:53,2020-06-01 07:29:57,4.0
36,2020-06-01,1774545319294287,"M thấy bảo có hơi nước bốc lên
Có nóng k b",bot handover_to_inbox,handover_to_inbox,0,handover_to_inbox,2020-06-01 07:30:08,no_timestamp,no_wait_time
37,2020-06-01,3238879449509406,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101607154_254261949218940_3904791077894225920_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=EUA0JIve6WsAX-jt8GT&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=dd609e26a2424a7a41a8ee5ad5b5575c&oe=5EFAA41C
Ghế này bn b oi","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)", ,0,query_knowledge_base,2020-06-01 07:14:34,2020-06-01 07:14:40,6.0
37,2020-06-01,3238879449509406,"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/2711535629"", ""product_id"": ""https://shopee.vn/product/36371562/2711535629""}","Sản phẩm {CHÍNH HÃNG} Ghế đa năng HANBEI ( full bánh xe + đệm lưng / Hàng nhập khẩu chính hãng hộp tiếng Anh )  hiện shop đang có mức giá: *448,000 VND (giá gốc 800,000 VND)*.
", ,0,query_knowledge_base,2020-06-01 07:15:00,2020-06-01 07:15:00,0.0
37,2020-06-01,3238879449509406,"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/2711535629"", ""product_id"": ""https://shopee.vn/product/36371562/2711535629""}","Sản phẩm {CHÍNH HÃNG} Ghế đa năng HANBEI ( full bánh xe + đệm lưng / Hàng nhập khẩu chính hãng hộp tiếng Anh )  hiện shop đang có mức giá: *448,000 VND (giá gốc 800,000 VND)*.
", ,0,query_knowledge_base,2020-06-01 07:15:02,2020-06-01 07:15:02,0.0
37,2020-06-01,3238879449509406,Còn màu xanh k bann,"Sản phẩm {CHÍNH HÃNG} Ghế đa năng HANBEI ( full bánh xe + đệm lưng / Hàng nhập khẩu chính hãng hộp tiếng Anh )  Màu Xanh hiện shop đang có mức giá: *448,000 VND (giá gốc 800,000 VND)*.
", ,0,query_knowledge_base,2020-06-01 07:15:50,2020-06-01 07:15:50,0.0
37,2020-06-01,3238879449509406,Chân có thể điều chỉnh cao thấp hả b,bot handover_to_inbox,handover_to_inbox,0,handover_to_inbox,2020-06-01 07:16:01,no_timestamp,no_wait_time
38,2020-06-01,1476585065791295,??,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?", ,0,ignore,2020-06-01 07:12:18,2020-06-01 07:15:09,171.0
38,2020-06-01,1476585065791295,"Alo alo
Đây b ơi
Sao lại ko ib d nhỉ","Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?", ,0,greet,2020-06-01 07:15:09,2020-06-01 07:15:09,0.0
38,2020-06-01,1476585065791295,"https://scontent.xx.fbcdn.net/v/t1.15752-9/100840989_746947766049359_173450665111060480_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_oc=AQlnbVWRhfNk1ncXGImG7Bgr2f8KJ38QOn1k0Uj9zJNB8eUbkTSDkkFlmGWoiCZSLhqkQyiKskUHL7wBdLNK-aH7&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=a099f96d8028c4db266c0231d18014d1&oe=5EFBF857
M hỏi bộ này bn","Sản phẩm Bộ bảng gỗ chữ  hiện shop đang có mức giá: *140,000 VND (giá gốc 210,000 VND)*.
", ,0,query_knowledge_base,2020-06-01 07:15:42,2020-06-01 07:15:44,2.0
38,2020-06-01,1476585065791295,Gồm cả bảng số và chữ ah,bot handover_to_inbox,handover_to_inbox,0,handover_to_inbox,2020-06-01 07:15:54,no_timestamp,no_wait_time
39,2020-06-01,2904204766294125,/start_conversation,"Chào Lan Ngoc, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!", ,0,start_conversation,2020-06-01 04:37:07,2020-06-01 04:37:07,0.0
39,2020-06-01,2904204766294125,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101701377_559306654783325_1828102952087191552_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=dexqzv4p8pgAX-mWHEt&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=9c415ddef7a8c16bb304f5a1ceded245&oe=5EF966BC
Kệ này giá bn vay shop","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",other,1,query_knowledge_base,2020-06-01 04:37:46,2020-06-01 04:37:49,3.0
40,2020-06-01,2219436361455523,"Cho e hỏi vs ạ
https://scontent.xx.fbcdn.net/v/t1.15752-9/100835124_3228019663885263_8091084130663530496_n.jpg?_nc_cat=106&_nc_sid=b96e70&_nc_ohc=gkru8GP-G10AX_sndPm&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=35dcdca7e3eb9fdcd236451da319be14&oe=5EF94B54
https://scontent.xx.fbcdn.net/v/t1.15752-9/101524923_278707723494663_5757135701573369856_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=tQCg6i3GN5wAX83gKkS&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=b4780c726ab7c805cc5999635700e13b&oe=5EFAD8DA
https://scontent.xx.fbcdn.net/v/t1.15752-9/101570390_690103978492033_2474938710630596608_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=D2JT8MTPblgAX8yglsE&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=3a65947f24a0cd88a948573060021100&oe=5EFA2252","Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!", ,0,handover_to_inbox,2020-06-01 02:36:41,2020-06-01 02:36:52,11.0
40,2020-06-01,2219436361455523,Giá 3 bộ này như nào vậy chị,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",cv_fail,1,query_knowledge_base,2020-06-01 02:36:52,2020-06-01 02:36:52,0.0
