conversation_id,turn,uc5,uc4,message_id,fb_conversation_id,sender_id,to_sender_id,sender_name,user_message,bot_message,updated_time,created_time,attachments,user_message_clean
10,0,,,m_SRda2Gs_eeY6Ogyh6WIBiBs9NIdr6eCV-ctk58YUf2cCNPkUwmByq4h9lgGx4qhWjhZ_VUL0V5WVoJDDpEiQaQ,t_2606115456281427,1454523434857990,1775613625901421,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2525906414386348/?comment_id=2529262047384118),2020-08-03T01:56:12+0000,2020-08-03T01:56:12+0000,,user
10,0,,,m_EkRHIS3adnUD9_JwW_ChYxs9NIdr6eCV-ctk58YUf2dmVoUVNugOE8CT_a5Ww43Ou4zvRRza3X0V3jMhHWHyfw,t_2606115456281427,1454523434857990,1775613625901421,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,dạ 399k ạ,2020-08-03T01:56:12+0000,2020-08-03T01:56:12+0000,,user
11,0,,,m_tYBJwikzBzntiqFYYVnMcBuoTX8ZDv0BtyJJpuxGuiOV7NLmsLHLWdkFOmLDgKUtQovz0djawByX3PqqrNCcyw,t_2264115786937780,1767216439999061,1454523434857990,Ho Khanh Chi,Check inbox t shop ơi,bot,2020-08-03T02:12:58+0000,2020-08-03T02:12:58+0000,,check inbox tớ shop ơi
12,0,,uc_s4.2,m_Nil7ZXuTmlFDRF0XrDNj4yO1_zWCuG0-YHvqm885TrK0oMPgDTGvmetqMl07SUs3qiGOHVmuosd5ff7caf_B-g,t_698892423604089,1516966255001919,1454523434857990,Lê Thị Ngân,Nhà mình còn bán máy huý sữa like new ko ạ,bot,2020-08-03T02:13:43+0000,2020-08-02T01:55:10+0000,,nhà mình còn bán máy huý sữa like new không ạ
12,0,,,m_NKnnDs07T04SnuGlyMPZICO1_zWCuG0-YHvqm885TrKE-SZeXqYg-Jvv8EKZDFmRm9E4QmX_EtpT7UUsi9TdYA,t_698892423604089,1454523434857990,1516966255001919,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,mình ko còn ạ,2020-08-03T02:13:43+0000,2020-08-03T01:48:36+0000,,user
12,1,,,m_rWRNwP82ftfO5osURsV_bCO1_zWCuG0-YHvqm885TrLPSoGqvsyw0-nqyYDb4M8lEgqeY7--oQxEpPI3gQalVw,t_698892423604089,1516966255001919,1454523434857990,Lê Thị Ngân,,bot,2020-08-03T02:13:43+0000,2020-08-03T02:13:43+0000,,
13,0,,,m_beWzS5rL78eduMdNrvLe7zw0B4wwUFnAoYhIxRBoZjJnT-R6LQ9Qa-Ub3b4xVDJJvgNAlQAW0Y1t95asI6xhNw,t_10155831200255866,1587357771363987,1454523434857990,Xù Xỳ,,bot,2020-08-03T02:14:21+0000,2020-08-02T08:54:08+0000,"https://scontent.fhan3-1.fna.fbcdn.net/v/t1.15752-9/117165139_2710747025832425_3859214788663405885_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=bhyQunGX6t8AX_3Wd2w&_nc_ht=scontent.fhan3-1.fna&oh=02ccb1250878d0615bfc6b0b962ae489&oe=5F6254B5, ",
13,0,,,m_4iJWJXlW1laUqWIc8EbEvzw0B4wwUFnAoYhIxRBoZjKYQ9acxygzD1dMhHrYckY2u3dengiHyua0xUOz6o97jw,t_10155831200255866,1587357771363987,1454523434857990,Xù Xỳ,Báo giá mình,bot,2020-08-03T02:14:21+0000,2020-08-02T08:54:10+0000,,báo giá mình
13,0,,,m_P4ojCmYQQvkuMSxfP_CWITw0B4wwUFnAoYhIxRBoZjIfLWmX9s4aJzbB0xhh9mWh5CKrN0xMCHDQx9LZf0dM4g,t_10155831200255866,1587357771363987,1454523434857990,Xù Xỳ,Shop hiện có máy hút sữa avent snow ko?,bot,2020-08-03T02:14:21+0000,2020-08-02T08:54:28+0000,,shop hiện có máy hút sữa avent snow không
13,0,,,m_Tk9ZoDyHd7RZpafm3ztWvDw0B4wwUFnAoYhIxRBoZjJmRW6r6XVzUbjxE-WvWSQt3aoM5Qjx2rlDWjSPd7jbsQ,t_10155831200255866,1454523434857990,1587357771363987,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Dạ mk có 4950k,2020-08-03T02:14:21+0000,2020-08-02T12:51:37+0000,,user
13,0,,,m_K_1SN0aVbxG49t2t83wXzDw0B4wwUFnAoYhIxRBoZjIXE2G-1lliZ1QzOwVjFMqXzSRwPzmAdxgstIrVFNvLew,t_10155831200255866,1454523434857990,1587357771363987,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Họpp trang điểm size nhỏ 350k size lớn 450k ạ,2020-08-03T02:14:21+0000,2020-08-02T12:51:50+0000,,user
13,1,,,m_RdHIaMwblQO87p5HNyv7vTw0B4wwUFnAoYhIxRBoZjLy9T4KVQungCIdCYZkUk3iWPgER0RWscuRLsTarIM7ww,t_10155831200255866,1587357771363987,1454523434857990,Xù Xỳ,Máy hút sữa là 4950k à b? Máy có phải đổi nguồn điện để dùng ko? Hàng của anh hay là nội địa TQ hả b?,bot,2020-08-03T02:14:21+0000,2020-08-02T13:36:16+0000,,máy hút sữa là 4950k à bạn máy có phải đổi nguồn điện để dùng không hàng của anh hay là nội địa trung quốc hả bạn
13,1,,,m_cOK2677CYUz-8bi5QHfEpDw0B4wwUFnAoYhIxRBoZjLoxCZcaXuy4g-GQZB3YLtdsGjDsmggcl_HEGe320vc1w,t_10155831200255866,1587357771363987,1454523434857990,Xù Xỳ,Mhs có đc tặng kèm đồ gì ko b?,bot,2020-08-03T02:14:21+0000,2020-08-03T00:56:36+0000,,mhs có được tặng kèm đồ gì không bạn
13,1,,,m_fkX65c9xBjR51RR6F1jovDw0B4wwUFnAoYhIxRBoZjJcFLRXzTmNPPZfH5iOyjx9UgJIsjHIzKq6W7P3N6T9bQ,t_10155831200255866,1454523434857990,1587357771363987,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,dạ ko tặng kèm b ạ,2020-08-03T02:14:21+0000,2020-08-03T01:44:51+0000,,user
13,1,,,m_i9mt-AT_C31DuxfxzETJOzw0B4wwUFnAoYhIxRBoZjJYNh7GfKcetfTwWkTm3cfQKwYIGnGojZSwbWfIbEunrg,t_10155831200255866,1454523434857990,1587357771363987,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,máy hàng ANh ạ,2020-08-03T02:14:21+0000,2020-08-03T01:45:06+0000,,user
