,id,sender_id,message,bot_message,timestamp,bot_timestamp,user_intent,outcome,silent,prediction
797,300,2044164449025460,"/confirm_attribute_value{""brand"": ""Toys House""}","Sản phẩm  Quây góc vuông cánh nhỏ hình ngôi nhà hãng sản xuất Toys House hiện shop đang có giá: *1,250,000 VND (giá gốc 1,390,000 VND), 1,440,000 VND (giá gốc 1,490,000 VND), 1,040,000 VND (giá gốc 1,290,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-08 08:43:15,2020-05-08 08:43:15,confirm_attribute_value,other,1.0,
798,301,1824332964315133,"https://scontent.xx.fbcdn.net/v/t1.15752-9/96143238_1542293112596549_1826598300489351168_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=_Ozhk5f64XUAX_vP_jm&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=8ad9a9a8de94369f5fd74f5805019afb&oe=5ED956A2
https://scontent.xx.fbcdn.net/v/t1.15752-9/96585780_527507364585405_9191964723430555648_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_ohc=AN3h9QR7wAEAX-kxcUs&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=fa380bd2339bf23c7390ad643ce94352&oe=5ED9D2C0
Báo giá Em với","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-05-08 08:38:45,2020-05-08 08:38:47,query_knowledge_base, ,,uc_2
799,301,1824332964315133,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-05-08 08:39:24,2020-05-08 08:39:24,disagree, ,,
800,301,1824332964315133,"https://scontent.xx.fbcdn.net/v/t1.15752-9/95815788_3237045086314292_4401095611466645504_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=danupA-7w_UAX-VMVU7&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=27d97b21d89e76e23e2f3ac3045fc988&oe=5ED99808
https://scontent.xx.fbcdn.net/v/t1.15752-9/95709006_176877403559344_8571905058025766912_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=VU1J6sWynQUAX-Twu8X&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=050c62539c94fd8d9b2fc64be57f9f8c&oe=5EDC8CE6",Bạn đang tìm kiếm thông tin gì ạ?,2020-05-08 08:39:43,2020-05-08 08:39:43,send_link, ,,
801,301,1824332964315133,mình hỏi 2 sản phẩm xe và bảng vẽ nhue hình,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-05-08 08:40:09,2020-05-08 08:40:11,query_knowledge_base, ,,
802,301,1824332964315133,không phải,Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-05-08 08:41:14,2020-05-08 08:41:14,disagree, ,,
803,301,1824332964315133,"như hình mình đưa đây
https://scontent.xx.fbcdn.net/v/t1.15752-9/95815788_3237045086314292_4401095611466645504_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=danupA-7w_UAX-VMVU7&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=27d97b21d89e76e23e2f3ac3045fc988&oe=5ED99808
https://scontent.xx.fbcdn.net/v/t1.15752-9/95709006_176877403559344_8571905058025766912_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=VU1J6sWynQUAX-Twu8X&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=050c62539c94fd8d9b2fc64be57f9f8c&oe=5EDC8CE6", ,2020-05-08 08:41:41, ,handover_to_inbox,handover_to_inbox,,
804,302,1771725186261616,Cho mình đặt 1 cái màu xanh nha.,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-08 08:33:29,2020-05-08 08:33:30,query_knowledge_base,cv_fail,1.0,
805,303,3750274518376264,Z shop lay cho mjh 1 cai nha,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-08 08:27:06,2020-05-08 08:27:06,query_knowledge_base,cv_fail,1.0,
806,304,1929388927185970,/start_conversation,"Chào Phương Phương, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-08 08:06:39,2020-05-08 08:06:40,start_conversation, ,,
807,304,1929388927185970,Hi shop,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-08 08:06:51,2020-05-08 08:06:51,greet, ,,
808,304,1929388927185970,"Bên b có xe đẩy vovo k?
Cho mìh xin giá nhé","Sản phẩm  Xe Đẩy hãng sản xuất Vovo hiện shop đang có giá: *2,500,000 VND, 2,200,000 VND*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-08 08:07:29,2020-05-08 08:07:30,query_knowledge_base,other,1.0,
809,305,2553759971366058,"B oi
Minh ko xem dc link
Video", ,2020-05-08 08:07:07, ,handover_to_inbox,handover_to_inbox,,
810,306,2065925633474716,Shop ơi bên m còn xe đẩy đôi ko ạ?, ,2020-05-08 07:56:10,2020-05-08 07:56:11,query_knowledge_base, ,,
811,306,2065925633474716,"/confirm_attribute_value{""price"": ""5M - 10M""}", ,2020-05-08 07:58:56,2020-05-08 07:58:56,confirm_attribute_value, ,,
812,306,2065925633474716,"/confirm_attribute_value{""brand"": ""NULL""}", ,2020-05-08 07:59:09,2020-05-08 07:59:09,confirm_attribute_value, ,,
813,306,2065925633474716,"/confirm_attribute_value{""color"": ""NULL""}", ,2020-05-08 07:59:16,2020-05-08 07:59:16,confirm_attribute_value, ,,
814,306,2065925633474716,"/confirm_attribute_value{""weight"": ""NULL""}", ,2020-05-08 07:59:25,2020-05-08 07:59:25,confirm_attribute_value, ,,
815,306,2065925633474716,"/confirm_attribute_value{""guarantee"": ""24 Tháng""}","Sản phẩm  Xe đẩy cho bé – Zaracos ZIPPY giá 5m - 10m, thời gian bảo hành 24 Tháng hiện shop đang có giá: *5,000,000 VND (giá gốc 5,685,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-08 07:59:34,2020-05-08 07:59:34,confirm_attribute_value, ,,
816,306,2065925633474716,Xe đẩy đôi ạ, ,2020-05-08 08:00:25,2020-05-08 08:00:25,query_knowledge_base, ,,
817,306,2065925633474716,Mình muốn hỏi tư vấn ko phải trả lời tự động, ,2020-05-08 08:03:51, ,connect_employee,other,1.0,
818,307,2931934286925148,/start_conversation,"Chào Thanh Hương Vũ, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-08 07:50:07,2020-05-08 07:50:07,start_conversation, ,,
819,307,2931934286925148,shop ơi cho m hỏi,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-08 07:50:24,2020-05-08 07:50:28,query_knowledge_base, ,,
820,307,2931934286925148,"xe tròn tập đi tomorow
shop còn loại nào a","Dạ, sản phẩm Xe Tập Đi hãng sản xuất Tomorow hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!",2020-05-08 07:50:50,2020-05-08 07:50:50,query_knowledge_base, ,,
821,307,2931934286925148,"/confirm_attribute_value{""brand"": ""Tomorrow Sky""}","Sản phẩm  Xe tập đi cao cấp Tommorrow Sky - CHÍNH HÃNG hãng sản xuất Tomorrow Sky hiện shop đang có giá: *649,000 VND (giá gốc 850,000 VND), 469,000 VND (giá gốc 850,000 VND), 639,000 VND (giá gốc 850,000 VND), 479,000 VND (giá gốc 850,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-08 07:51:09,2020-05-08 07:51:09,confirm_attribute_value, ,,
822,307,2931934286925148,có bảo hành k shop ơi, ,2020-05-08 07:54:47, ,query_knowledge_base,other,1.0,
823,308,1725300490889929,"Chị ơi
Đồ bơi cho bé còn ko ạ?
Em xin ảnh với ạ","Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-08 07:50:28,2020-05-08 07:50:28,query_knowledge_base, ,,
824,308,1725300490889929,Dạ ý em muốn hỏi bộ đồ bé mặc đi biển / bơi ý ạ, ,2020-05-08 07:51:13, ,query_knowledge_base,other,1.0,
825,309,2416561991784352,"hi em
chi dang muon mua chiec xe dap ben em
nhug chi o hcm", ,2020-05-08 07:19:16,2020-05-08 07:19:17,query_knowledge_base, ,,other
826,309,2416561991784352,"loai xe ma vua choi chan
vua dap dc ah em
375k gi do","Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-08 07:20:03,2020-05-08 07:20:03,query_knowledge_base, ,,other
827,309,2416561991784352,https://scontent.xx.fbcdn.net/v/t1.15752-9/96157930_568082824110243_3129635560700772352_n.png?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=9XmlkvU6TiQAX-oYipi&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=76c77707702f0fa6ed45723de901d5c5&oe=5EDBC967,"Sản phẩm  Xe chòi chân có bàn đạp cao cấp Motion  hiện shop đang có giá: *448,400 VND (giá gốc 590,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-08 07:20:40,2020-05-08 07:20:42,send_link, ,,other
828,309,2416561991784352,"cho chi hoi
shop Bin & Bong
cung la cua ben em ha", ,2020-05-08 07:21:28, ,handover_to_inbox,handover_to_inbox,,other
829,310,2120441008050421,"shop ơi
shop còn giường màu hồng ko?","Dạ, sản phẩm Giuong  Màu Hồng hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!",2020-05-08 06:42:57,2020-05-08 06:42:58,query_knowledge_base, ,,
830,310,2120441008050421,vậy còn màu ji c nhỉ, ,2020-05-08 06:54:46,2020-05-08 06:54:46,query_knowledge_base, ,,
831,310,2120441008050421,"/confirm_attribute_value{""size"": ""NULL""}", ,2020-05-08 06:55:31,2020-05-08 06:55:31,confirm_attribute_value, ,,
832,310,2120441008050421,"t ấn nhầm
cho t xem ảnh vơi", ,2020-05-08 06:56:00, ,handover_to_inbox,handover_to_inbox,,
833,311,3854798024562047,/start_conversation,"Chào Phuonh Anh, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-08 06:53:40,2020-05-08 06:53:40,start_conversation, ,,
834,311,3854798024562047,bên mình có haenim 4 ko shop,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-08 06:53:59,2020-05-08 06:54:00,query_knowledge_base,cv_fail,1.0,
835,312,4528203840539127,/start_conversation,"Chào Vic Chip, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-08 04:49:36,2020-05-08 04:49:37,start_conversation, ,,
